Country Name,Country Code,Region,IncomeGroup,Year,Life Expectancy World Bank,Prevelance of Undernourishment,CO2,Health Expenditure %,Education Expenditure %,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
Greece,GRC,Europe & Central Asia,High income,2019,81.63902439,2.5,60000,7.83788586,,17.30999947,,90.94585502,229974.33,134132.16,3018964.93
Grenada,GRD,Latin America & Caribbean,Upper middle income,2019,72.397,,330.0000131,4.96524,,,4,,2922.02,3702.86,25798.99
Greenland,GRL,Europe & Central Asia,High income,2019,72.04756098,,,,,,,91.88920622,3423.46,1189.62,15500.1
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2019,74.302,16.3,19309.99947,6.21161032,3.199280024,2.190000057,,,955698.6,1136486.62,3015212.86
Guam,GUM,East Asia & Pacific,High income,2019,80.074,,,,,5.514999866,,,4495.31,6158,37738.85
Guyana,GUY,Latin America & Caribbean,Upper middle income,2019,69.906,5,2849.999905,4.93048668,,13.99199963,3,,48857.16,59671.86,200363.16
Honduras,HND,Latin America & Caribbean,Lower middle income,2019,75.27,13.3,10220.00027,7.2839179,4.912849903,5.699999809,2.5,49.31748103,392599.94,437975.24,1726716.98
Croatia,HRV,Europe & Central Asia,High income,2019,78.42439024,2.5,16520.00046,6.97861767,,6.619999886,,69.08965145,155470.19,42941.13,1277757.16
Haiti,HTI,Latin America & Caribbean,Lower middle income,2019,64.001,46.4,3319.999933,4.72808981,,13.91499996,2.5,,806311.39,2210544.3,2873989.88
Hungary,HUN,Europe & Central Asia,High income,2019,76.3195122,2.5,46380.00107,6.35002232,,3.420000076,,87.75110139,346860.69,110905.48,3247169.04
Indonesia,IDN,East Asia & Pacific,Lower middle income,2019,71.716,6.2,619840.0269,2.90493584,2.841850042,3.619999886,,,5349013.42,16068961.2,56014795.86
India,IND,South Asia,Lower middle income,2019,69.656,14.6,2456300.049,3.0141468,4.4072299,5.269999981,,43.90429017,53563909.73,143214465.1,271097354.6
Ireland,IRL,Europe & Central Asia,High income,2019,82.70243902,2.5,35750,6.67931509,,4.949999809,,82.77712007,90416.72,48853.61,1047086.68
Iraq,IRQ,Middle East & North Africa,Upper middle income,2019,70.604,17.4,174559.9976,4.47671509,,12.86299992,,43.1273041,2028459.97,1485902.02,6779801.63
Iceland,ISL,Europe & Central Asia,High income,2019,83.16341463,2.5,1639.999986,8.63868046,,3.50999999,,83.68803443,6755.56,3333.12,67186.17
Israel,ISR,Middle East & North Africa,High income,2019,82.80487805,2.5,62650.00153,7.46131897,,3.799999952,,94.20534806,158797.37,105327.58,1570065.22
Italy,ITA,Europe & Central Asia,High income,2019,83.49756098,2.5,317239.9902,8.66856861,,9.949999809,,95.77703292,1216149.04,552868.23,16313740.19
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2019,74.475,7.5,8390.000343,6.09748316,5.163640022,7.690000057,,,63291.58,105439.9,594914.96
Jordan,JOR,Middle East & North Africa,Upper middle income,2019,74.526,14.6,24629.99916,7.58246946,2.988470078,16.80999947,,82.08366975,212904.08,322105.2,1604619.31
Japan,JPN,East Asia & Pacific,High income,2019,84.35634146,2.8,1081569.946,10.74372482,,2.400000095,,81.03379461,3298052.16,2030122.25,31250149.03
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2019,73.18,2.5,212110.0006,2.78745675,2.856970072,4.800000191,,,839920.11,567073.75,4372561.53
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2019,66.699,25.6,22280.00069,4.59182692,4.97439003,5.010000229,3,,1184580.73,9981772.22,6514141.14
Cambodia,KHM,East Asia & Pacific,Lower middle income,2019,69.823,6,16180.00031,6.98908329,,0.147,1.5,,523902.77,1602953.55,3243329.33
Kiribati,KIR,East Asia & Pacific,Lower middle income,2019,68.369,4,90.00000358,10.26414394,12.39466,,3.5,26.35527408,4687.11,15933.83,36285.96
Kuwait,KWT,Middle East & North Africa,High income,2019,75.489,2.5,92650.00153,5.49601221,6.49243021,2.167000055,,100,80255.9,70784.64,608525.86
Lebanon,LBN,Middle East & North Africa,Lower middle income,2019,78.93,9,27950.00076,8.64661503,2.592020035,11.35000038,,16.53432546,109396.75,121494.22,1120166.57
Liberia,LBR,Sub-Saharan Africa,Low income,2019,64.104,39.2,1179.999948,8.47005749,2.270390034,3.015000105,2.5,,112419.93,1206620.39,656823.31
Libya,LBY,Middle East & North Africa,Upper middle income,2019,72.913,,56799.99924,,,19.65500069,,21.61704948,307299.87,138822.26,1261130.61
Sri Lanka,LKA,South Asia,Lower middle income,2019,76.978,3.7,23780.00069,4.07979679,1.929999948,4.349999905,3,,747286.53,561234.44,4412887.34
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2019,54.331,31.2,769.9999809,11.26946354,7.991712093,22.44000053,3,45.82040047,170550.1,1023104.35,454034.4
Lithuania,LTU,Europe & Central Asia,High income,2019,76.28292683,2.5,11729.99954,7.00600433,,6.260000229,,93.91542258,137809.87,43646.43,914173.77
Luxembourg,LUX,Europe & Central Asia,High income,2019,82.63902439,2.5,9489.999771,5.37075996,,5.590000153,,96.76533819,14570.92,6042.26,131618.06
Latvia,LVA,Europe & Central Asia,High income,2019,75.38780488,2.5,7570.000172,6.57814217,,6.309999943,,81.08653606,84070.87,33118.26,651849.04
Morocco,MAR,Middle East & North Africa,Lower middle income,2019,76.68,4.4,71480.00336,5.30845118,5.931356907,9.279999733,,39.00630913,1081044.55,1431057.28,7597359.83
Monaco,MCO,Europe & Central Asia,High income,2019,,,,1.5251174,1.152660012,,,100,981.42,515.38,12213.86
Moldova,MDA,Europe & Central Asia,Upper middle income,2019,71.901,,8859.999657,6.3779459,6.103789806,5.099999905,2.5,,145912.84,99599.43,1120227.64
Madagascar,MDG,Sub-Saharan Africa,Low income,2019,67.041,47.4,4119.999886,3.68728375,2.994858742,1.856999993,2.5,10.05791673,596008.21,6084479.07,4045294.79
Maldives,MDV,South Asia,Upper middle income,2019,78.921,,2109.999895,8.04001141,4.121590137,5.340000153,3,,8122.28,15995,66720.47
Mexico,MEX,Latin America & Caribbean,Upper middle income,2019,75.054,6,449269.989,5.43305254,,3.480000019,,54.88172246,4845347.59,3665959.98,25469089.6
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2019,,,180.0000072,16.34140015,15.75,,3.5,,2544.11,3929.7,14835.97
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2019,76.60243902,3.1,8300.000191,7.25409985,,17.26000023,,12.18440354,60390.62,33615.57,655550.98
Mali,MLI,Sub-Saharan Africa,Low income,2019,59.306,5.6,5829.999924,3.89389849,3.484102249,7.441999912,3,19.22903769,917064.7,10446688.28,3483913.85
